,P/N,Rating,Rating_count,Comment_count,Brand,Series,Price,cpu_name,cpu_code,ram_size,ram_upgradable,GPU,Battery,storage_size,storage_type,storage_extra_slot,displ_size,displ_resolution,displ_rate,weight,length,width,thickness,OS,Surface,Release_year,backlit_keyboard,hdmi,headphone_jack,lan,type_c,usb_a,sd_card
101,70251593,0.0,0,114,Dell,Latitude 3520,24690000.0,Intel,1135G7,8.0,yes,Intel Iris Xe Graphics,41.0,,,yes,15.6,1920 x 1080,60,1.79,361.0,240.9,18.0,Windows 10,Plastic,2021,yes,yes,yes,yes,yes,yes,yes
102,70253898,3.0,2,139,Dell,Inspiron 3501,24590000.0,Intel,1165G7,8.0,yes,NVIDIA GeForce MX330,42.0,,,yes,15.6,1920 x 1080,60,1.91,363.96,249.0,19.9,Windows 10,Plastic,2021,no,yes,yes,yes,no,yes,yes
103,2K0B1PA,0.0,0,235,HP,Envy 13 ba1027TU,24290000.0,Intel,1135G7,8.0,no,Intel Iris Xe Graphics,51.0,256.0,SSD,no,13.3,1920 x 1080,60,1.236,306.5,194.6,16.9,Windows 10,Metal,2020,yes,no,yes,no,yes,yes,yes
104,70262927,0.0,0,8,Dell,Inspiron 14 5410,23990000.0,Intel,1155G7,8.0,yes,Intel Iris Xe Graphics,41.0,512.0,SSD,no,14.0,1920 x 1080,60,1.65,321.0,211.0,18.0,Windows 10,"Metal, Plastic",2021,yes,yes,yes,no,yes,yes,yes
105,81Y40068VN,4.4,15,238,Lenovo,IdeaPad Gaming 3 15IMH05,23990000.0,Intel,10750H,8.0,yes,NVIDIA GeForce GTX 1650 4 GB,45.0,,,yes,15.6,1920 x 1080,60,2.2,351.0,240.0,23.0,Windows 10,Plastic,2020,yes,yes,yes,yes,yes,yes,no
106,4U6M5PA,0.0,0,76,HP,Envy 13 ba1536TU,23790000.0,Intel,1135G7,8.0,no,Intel Iris Xe Graphics,51.0,512.0,SSD,no,13.3,1920 x 1080,60,1.3,306.5,194.6,16.9,Windows 10,Metal,2021,yes,no,yes,no,yes,yes,yes
107,20VA000NVN,2.7,12,136,Lenovo,ThinkBook 14s G2 ITL,23690000.0,Intel,1135G7,8.0,yes,Intel Iris Xe Graphics,56.0,512.0,SSD,no,14.0,1920 x 1080,60,1.27,322.0,207.0,14.9,Windows 10,Metal,2020,yes,yes,yes,no,yes,yes,no
108,82A300DPVN,0.0,0,8,Lenovo,Yoga Slim 7 14ITL05,23590000.0,Intel,1135G7,8.0,no,Intel Iris Xe Graphics,60.7,512.0,SSD,no,14.0,1920 x 1080,60,1.36,320.6,208.18,14.9,Windows 10,Metal,2021,yes,yes,yes,no,yes,yes,yes
109,HN015T,0.0,0,4,Asus,ROG Strix Gaming G15 G513IH,23490000.0,AMD,4800H,8.0,yes,NVIDIA GeForce GTX 1650 4 GB,56.0,,,yes,15.6,1920 x 1080,144,2.1,354.0,259.0,206.0,Windows 10,"Metal, Plastic",2021,yes,yes,yes,yes,yes,yes,no
110,068VN,4.7,14,249,MSI,GF75 Thin 10SCXR,23490000.0,Intel,10750H,8.0,yes,NVIDIA GeForce GTX 1650 4 GB,51.0,,,yes,17.3,1920 x 1080,144,2.2,397.0,260.0,23.1,Windows 10,Plastic,2021,yes,yes,no,yes,yes,yes,no
